Borough,Neighbourhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
Manhattan,Roosevelt Island,40.762403730702246,-73.9494705736962,9,Park,Sandwich Place,Deli / Bodega,Greek Restaurant,Scenic Lookout,School,Liquor Store,Coffee Shop,Gym,Residential Building (Apartment / Condo)
Manhattan,Upper West Side,40.7876579985349,-73.97705923630609,9,Italian Restaurant,Bar,Vegetarian / Vegan Restaurant,Indian Restaurant,Wine Bar,Bakery,Burger Joint,Coffee Shop,Mediterranean Restaurant,Dessert Shop
Manhattan,Lincoln Square,40.773528889421705,-73.9853377700127,9,Gym / Fitness Center,Theater,Plaza,Italian Restaurant,Concert Hall,Café,French Restaurant,Park,Indie Movie Theater,Performing Arts Venue
Manhattan,Clinton,40.7583336869064,-73.99640768221386,9,Theater,American Restaurant,Italian Restaurant,Gym,Hotel,Gym / Fitness Center,Spa,Performing Arts Venue,Lounge,Dog Run
Manhattan,Midtown,40.754691102706275,-73.98166882730311,9,Hotel,Clothing Store,Theater,Coffee Shop,Steakhouse,Park,Food Truck,Bookstore,Bakery,Sporting Goods Shop
Manhattan,Murray Hill,40.748303077252224,-73.97833207924134,9,Korean Restaurant,Coffee Shop,Bar,Japanese Restaurant,Hotel,Gym,Pub,Bakery,Italian Restaurant,French Restaurant
Manhattan,Chelsea,40.744034706748025,-74.0031163347282,9,Coffee Shop,Italian Restaurant,Ice Cream Shop,American Restaurant,Bakery,Nightclub,Hotel,Seafood Restaurant,Theater,Market
Manhattan,Greenwich Village,40.72693288536132,-73.99991402945909,9,Italian Restaurant,Sushi Restaurant,Clothing Store,French Restaurant,Seafood Restaurant,Indian Restaurant,Boutique,Chinese Restaurant,Café,Yoga Studio
Manhattan,East Village,40.72784677727029,-73.98222616506425,9,Ice Cream Shop,Bar,Wine Bar,Cocktail Bar,Mexican Restaurant,Chinese Restaurant,Ramen Restaurant,Pizza Place,Record Shop,Vegetarian / Vegan Restaurant
Manhattan,Lower East Side,40.717806748927686,-73.98089031999298,9,Café,Coffee Shop,Japanese Restaurant,Park,Bakery,Shoe Store,Chinese Restaurant,Theater,Cocktail Bar,Art Gallery
Manhattan,Tribeca,40.72152196744325,-74.01068328559093,9,Italian Restaurant,American Restaurant,Park,Café,Spa,Wine Bar,Boutique,Coffee Shop,Greek Restaurant,Gym
